variable,min,max
profit,-100000,100000
power_export_dollar,0,1000000
total_fuel_within_PH_dollar,0,1000000
total_power_export_MW,0,360
GT_C1_NG_Flow_SCFH,400000,1000000
GT_C2_NG_Flow_SCFH,400000,1000000
GT_C4_NG_Flow_SCFH,400000,1000000
GT_C5_NG_Flow_SCFH,400000,1000000
GT_R5_NG_Flow_KPPH,40,90
GT_R6_NG_Flow_KPPH,40,90
FHRSG_C1_NG_SCFH,0,1000000
FHRSG_C2_NG_SCFH,0,1000000
HRSG_R5_Steam_Gen_1900_KLBH,200,600
HRSG_R6_Steam_Gen_1900_KLBH,200,600
STG_C3_Steam_Cons_1250_LBH,600000,1400000
STG_R2_Steam_Cons_600_KLBH,10,350
STG_R3_Steam_Cons_600_KLBH,10,350
STG_R4_Steam_Cons_1900_KLBH,450,1100
GT_C1_Power_MW,40,70
GT_C2_Power_MW,30,70
GT_C4_Power_MW,30,90
GT_C5_Power_MW,20,90
GT_R5_Power_MW,80,200
GT_R6_Power_MW,80,200
STG_C3_Power_MW,40,70
STG_R2_Power_MW,40,70
STG_R3_Power_MW,40,70
STG_R4_Power_MW,40,70
Power_Gen_MW,0,800
Letdown_1900_TO_600_KLBH,0,1000000
BLR_C1_Steam_Gen_1250_LBH,30000,750000
BLR_C2_Steam_Gen_1250_LBH,30000,700000
HRSG_C4_Steam_Gen_1250_LBH,150000,300000
HRSG_C5_Steam_Gen_1250_LBH,100000,260000
Letdown_1250_TO_400_LBH,0,1400000
STG_R4_Steam_Gen_600_KLBH,100000,1000
STG_C3_Steam_Gen_400_LBH,100000,700000
Letdown_From_400_TO_175_LBH,0,1300000
Letdown_From_175_TO_30_LBH,0,700000
STEAM_VENTING_LBH,0,1000000
Steam_Venting_Dollar,0,500
