tag_alias,tag_id
OP9_ACTUAL_NG_PHC_CONS_C1_GT_SCFH,17692
OP9_ACTUAL_NG_PHC_CONS_C2_GT_SCFH,17693
OP9_ACTUAL_NG_PHC_CONS_C4_GT_SCFH,17694
OP9_ACTUAL_NG_FLOW_PHC_C5_GT_SCFH,17695
OP9_ACTUAL_NG_RSC_CONS_TOTAL_R5_GT_KPPH,17696
OP9_ACTUAL_NG_RSC_CONS_TOTAL_R6_GT_KPPH,17697
OP9_ACTUAL_NG_FLOW_PHC_C1_HRSG_SCFH,17698
OP9_ACTUAL_NG_FLOW_PHC_C2_HRSG_SCFH,17699
OP9_ACTUAL_1250STM_PHC_CONS_C3_STG_LBH,17700
OP9_ACTUAL_600STM_RS_CONS_R2_STG_KLBH,17701
OP9_ACTUAL_600STM_RS_CONS_R3_STG_KLBH,17702
OP9_ACTUAL_STM_RSC_GEN_R4_TOT_EXHST_KLBH,17703
OP9_ACTUAL_PROFIT_POWERHOUSE_DOLLARS,17987
OP9_ACTUAL_TOTAL_PWR_GEN_MW,17988
OP9_ACTUAL_POWER_EXPORT_MW,17989
OP9_ACTUAL_Total_Cost_for_Powerhouse,17990
OP9_ACTUAL_Total_Revenue_for_Powerhouse,17991
OP9_WIF_ACTUAL_PWR_PHC_GEN_C1_GT_MW,18545
OP9_WIF_ACTUAL_PWR_PHC_GEN_C2_GT_MW,18546
OP9_WIF_ACTUAL_PWR_PHC_GEN_C4_GT_MW,18547
OP9_WIF_ACTUAL_PWR_PHC_GEN_C5_GT_MW,18548
OP9_WIF_ACTUAL_PWR_RSC_GEN_R5_STG_MW,18549
OP9_WIF_ACTUAL_PWR_RSC_GEN_R6_STG_MW,18550
OP9_WIF_ACTUAL_PWR_PHC_GEN_C3_STG_MW,18551
OP9_WIF_ACTUAL_PWR_RS_GEN_R2_STG_MW,18552
OP9_WIF_ACTUAL_PWR_RS_GEN_R3_STG_MW,18553
OP9_WIF_ACTUAL_PWR_RSC_GEN_R4_STG_MW,18554
OP9_WIF_Total_NG_Consumption_MMSCFD,18915
OP9_WIF_ACTUAL_1250STM_PHC_GEN_C1_BLR_LBH,19397
OP9_WIF_ACTUAL_1250STM_PHC_GEN_C2_BLR_LBH,19518
OP9_WIF_GT_C1_BASELOADED,19766
OP9_WIF_GT_C2_BASELOADED,19767
OP9_WIF_GT_C4_BASELOADED,19768
OP9_WIF_GT_C5_BASELOADED,19769
